Track_ID,Album_ID,Name,Duration,Track_added_at,Is_Local,URL
6BdAwMv1YorLfkBWlE493X,6bm9EpUNvQ9xMglBJGRmgS,Héroe Favorito,239823,2022-04-26T19:59:14Z,False,https://open.spotify.com/track/6BdAwMv1YorLfkBWlE493X
3WlC4Pg9tekMJ2qtDNcbPP,3BbTHGuQNB8Wbt1Qd8zqRq,Perdón. Adiós.,228623,2024-01-28T18:56:20Z,False,https://open.spotify.com/track/3WlC4Pg9tekMJ2qtDNcbPP
252UPuQsncbBFhTrx4Ytcc,6a3RDPcFamZvFCi8VeXWkK,La Diabla,239026,2022-04-26T19:58:04Z,False,https://open.spotify.com/track/252UPuQsncbBFhTrx4Ytcc
197PCRC6OSRsJvYCurlsdz,4xpeeztYL2ensw5QYD4rDg,Nuestro Amor,204324,2022-10-04T18:34:29Z,False,https://open.spotify.com/track/197PCRC6OSRsJvYCurlsdz
1PV9Z6YJfh8AUIu22Zwt7W,49Fr0ad3ARcTN1c3fi1YjI,Mi Droga Y Mi Cura,224649,2024-01-29T12:16:02Z,False,https://open.spotify.com/track/1PV9Z6YJfh8AUIu22Zwt7W
3DKWF8is9hzp84aSxnhlag,17HsiXfqKUPoTP6Y5ebs1L,Necio (feat. Carlos Santana),264266,2022-02-20T06:50:15Z,False,https://open.spotify.com/track/3DKWF8is9hzp84aSxnhlag
4s8r4lbbUXF3xFdEXWgTrs,3dCEXNx36W29EYCMUAx5p5,Angelito,293146,2022-02-20T08:14:59Z,False,https://open.spotify.com/track/4s8r4lbbUXF3xFdEXWgTrs
45GOV2654yaxoT6fTQEFyY,4aqcDA0Q2UEPInj5a89Cjr,Pasion,311866,2022-02-20T06:53:16Z,False,https://open.spotify.com/track/45GOV2654yaxoT6fTQEFyY
5a7AwolGAcBjZgNQDhRrLm,75tSeRl3ukttjNf0FDcBNQ,Estoy Perdido,251428,2023-02-11T04:33:13Z,False,https://open.spotify.com/track/5a7AwolGAcBjZgNQDhRrLm
2zHgz7X52WqdckhjMJj6mt,1yM8iaMk4Slsqr94LabgN1,ileso,217573,2022-04-26T19:58:55Z,False,https://open.spotify.com/track/2zHgz7X52WqdckhjMJj6mt
